Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-14.820317	-14.820317	-4.657078	-3.4515147	6.0832047	13.7576685	-52.816113	-3.4509177	0.1	196991	107.9668128490448
1	-9.438165	-9.438165	-5.1035047	-4.9944167	7.7560277	10.446497	-54.998436	-4.9955454	0.1	397991	231.98474502563477
2	-8.365829	-8.365829	-5.6933846	-5.483934	7.0608487	6.845289	-58.34978	-5.485036	0.1	598982	344.4043769836426
3	-9.940042	-9.940042	0.0	-7.661076	7.3684974	8.091518	-57.926117	-7.660655	0.0	799991	457.57468914985657
4	-5.7071357	-5.7071357	0.0	-8.872881	7.545275	6.759584	-59.321144	-8.872276	0.0	1000991	574.4610407352448
5	-6.0999146	-6.0999146	-2.581649	-9.934945	7.794337	4.825902	-60.729225	-9.935947	0.2	1201991	686.7819113731384
6	-5.300962	-5.300962	-7.1904087	-11.114981	7.994764	5.0314116	-60.01235	-11.115595	0.2	1402991	798.5852541923523
7	-4.845653	-4.845653	0.0	-11.87577	8.639123	3.952527	-60.411648	-11.8772	0.0	1603989	907.4386546611786
8	-6.9658666	-6.9658666	-2.0445864	-11.972466	8.861535	9.092325	-58.51354	-11.972909	0.1	1804991	1028.2338500022888
9	-7.0634694	-7.0634694	0.0	-12.039036	8.469292	6.40073	-60.85689	-12.038061	0.0	2005991	1147.1797785758972
10	-7.9451528	-7.9451528	0.0	-12.373198	8.597162	7.302466	-62.108295	-12.373302	0.0	2206991	1260.4505186080933
11	-9.182138	-9.182138	-7.017621	-12.510357	8.846436	3.8555121	-67.50659	-12.511041	0.2	2407991	1370.171330690384
12	-9.664133	-9.664133	0.0	-13.072008	9.04953	2.9631193	-62.891838	-13.072811	0.0	2608982	1483.1317369937897
13	-3.6394348	-3.6394348	0.0	-13.266695	8.765126	4.3386164	-64.63694	-13.26762	0.0	2809991	1596.3452594280243
14	-6.8600483	-6.8600483	0.0	-13.5235405	8.909838	2.5992787	-62.26178	-13.523997	0.0	3010988	1707.7487874031067
15	-8.105755	-8.105755	-0.9211893	-13.777048	9.072477	4.4660406	-66.58486	-13.778014	0.1	3211991	1820.136304140091
16	-7.7745	-7.7745	-2.9391823	-14.013239	9.371434	4.5237703	-64.34009	-14.013148	0.2	3412983	1934.9507348537445
17	-12.401599	-12.401599	-6.128821	-14.151934	9.446897	5.7505007	-61.55044	-14.153067	0.4	3613991	2050.6117935180664
18	-11.1150465	-11.1150465	-4.7273345	-14.324693	9.466037	4.901125	-64.5798	-14.325192	0.1	3814991	2166.1343314647675
19	-8.53	-8.53	-5.1557064	-14.65198	9.598752	4.8815165	-65.2073	-14.652335	0.3	4015991	2276.1498758792877
20	-3.3097982	-3.3097982	-2.0476708	-14.75575	9.700997	4.4938745	-64.04156	-14.756555	0.1	4216991	2389.2877202033997
21	-7.8956237	-7.8956237	-3.7506187	-14.664625	9.781807	5.6753	-65.84121	-14.665178	0.5	4417991	2501.2576310634613
