Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-5.96672	-5.96672	0.0	-5.3260045	7.260606	3.3418622	-48.919895	-5.3263273	0.0	196981	115.6129138469696
1	-3.385421	-3.385421	-2.3416574	-16.907808	12.110673	3.3796713	-57.55798	-16.907454	0.3	397991	226.55592250823975
2	0.8413626	0.8413626	0.0	-19.732964	10.253913	4.005365	-55.21301	-19.73139	0.1	598991	339.92604517936707
3	-8.90192	-8.90192	-4.2360263	-17.397667	9.551899	10.536258	-55.046116	-17.39808	0.3	799991	456.5787527561188
4	-6.2241793	-6.2241793	-7.497465	-18.467691	8.296932	4.6274257	-54.237312	-18.468405	0.5	1000991	578.2493634223938
5	-7.7442074	-7.7442074	0.4542584	-20.214897	9.249469	11.010959	-57.14595	-20.213585	0.2	1201991	693.9720485210419
6	-7.2657213	-7.2657213	-15.821695	-20.921167	9.562121	5.110073	-57.44205	-20.920238	0.3	1402991	803.8075590133667
7	-11.194646	-11.194646	-4.1109433	-21.370317	8.995159	10.122657	-56.495598	-21.370827	0.5	1603985	915.1304988861084
8	-3.9264727	-3.9264727	-5.716294	-21.210745	8.941231	10.356759	-58.168358	-21.21212	0.4	1804991	1029.948830127716
9	-10.864023	-10.864023	-3.161713	-20.609318	9.016062	5.696164	-65.96173	-20.609896	0.4	2005991	1141.5616643428802
10	-5.5750713	-5.5750713	-9.715604	-20.501081	9.164793	8.159151	-58.352257	-20.501514	0.4	2206991	1255.2869930267334
11	-4.5895305	-4.5895305	-1.133071	-19.714098	9.076978	7.3120832	-55.0957	-19.716162	0.3	2407991	1375.7601006031036
12	-8.415945	-8.415945	-0.3979247	-18.616915	8.944703	6.1372457	-54.96729	-18.617134	0.1	2608991	1487.895788192749
13	-3.5323174	-3.5323174	-0.46889713	-17.902359	8.68558	10.610775	-54.76234	-17.902357	0.3	2809991	1602.835279226303
14	-4.9281034	-4.9281034	0.0	-17.369583	8.579833	6.772221	-55.199203	-17.370594	0.0	3010991	1712.970953464508
