Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-4.6	-4.6	0.0	-0.111232035	0.47850466	0.906277	-14.789564	-0.111026146	0.0	197081	33.994531869888306
1	-0.8	-0.8	0.0	-0.1580855	0.6107481	1.202438	-13.785202	-0.15779096	0.0	398081	72.60448741912842
2	-1.4	-1.4	0.0	-0.16369815	0.56353194	0.74960613	-15.952733	-0.16354969	0.0	599081	111.7336311340332
3	-1.2	-1.2	0.0	-0.21577643	0.5070469	0.42595607	-18.012785	-0.21575743	0.0	800081	152.332679271698
4	-1.8	-1.8	0.0	-0.2138875	0.48357683	0.35222536	-19.068686	-0.21386081	0.0	1001081	193.78445839881897
5	-1.2	-1.2	0.0	-0.23318748	0.47754565	0.2747557	-20.088993	-0.2331584	0.0	1201981	236.89060187339783
6	-2.4	-2.4	0.0	-0.24510303	0.46444568	0.28764793	-19.463268	-0.24512003	0.0	1403081	279.23726415634155
7	-2.2	-2.2	0.0	-0.23520432	0.4546542	0.39860725	-19.612844	-0.23523247	0.0	1604081	322.2918436527252
8	-1.6	-1.6	0.0	-0.19219702	0.43735823	0.5655699	-20.147572	-0.19217975	0.0	1805081	365.6034903526306
9	-7.6	-7.6	0.0	-0.19234948	0.47741386	0.5155332	-19.78216	-0.19243982	0.0	2005996	407.5765974521637
10	-8.4	-8.4	0.0	-0.22790363	0.55244	0.6117254	-20.028208	-0.2278241	0.0	2206996	450.25794506073
11	-7.6	-7.6	0.0	-0.2298047	0.6072228	0.5293655	-22.52409	-0.22974579	0.0	2408038	493.3377993106842
12	-5.6	-5.6	0.0	-0.35529056	0.6437703	0.8764789	-19.173502	-0.35534874	0.0	2608981	537.381379365921
13	-7.4	-7.4	0.0	-0.5662931	0.6801247	0.7813936	-19.7618	-0.5664131	0.0	2809981	580.9989643096924
14	-6.0	-6.0	0.0	-0.5223344	0.72781795	0.44697016	-19.749924	-0.52235067	0.0	3011081	625.2957036495209
15	-7.6	-7.6	0.0	-0.62019736	0.729658	0.27898997	-21.46908	-0.6201556	0.0	3212010	670.4445643424988
16	-9.0	-9.0	0.0	-0.6647717	0.7781867	0.33923775	-23.319098	-0.6648215	0.0	3412992	715.942067861557
17	-8.2	-8.2	0.0	-0.7024858	0.80500084	0.46630204	-21.112879	-0.70253634	0.0	3614081	760.3008480072021
18	-7.2	-7.2	0.0	-0.73406035	0.84883535	0.48057604	-22.93918	-0.73398906	0.0	3815007	807.0183131694794
19	-6.6	-6.6	0.0	-0.7080621	0.8754788	0.44818765	-24.016888	-0.7080362	0.0	4016081	852.1273949146271
20	-2.8	-2.8	0.0	-0.6682571	0.90861565	0.6423725	-20.220922	-0.6680938	0.0	4216981	901.009884595871
21	-2.8	-2.8	0.0	-0.61393255	0.92019594	0.71931756	-23.193243	-0.61389494	0.0	4418081	951.2916073799133
